 Intel Core i5-12400 ,,4.40 GHz
Intel Celeron 420,"1,6GHz",
Intel Celeron 430,"1,8GHz",
Intel Celeron 440,2GHz,
Intel Celeron 450,2GHz,
Intel Celeron E1200,"1,6GHz",
Intel Celeron E1400,2GHz,
Intel Celeron E1500,2GHz,
Intel Celeron G1610,6GHz,
Intel Celeron G1610T,3GHz,
Intel Celeron G1620,7GHz,
"Intel Celeron G4""1","9GHz""",
Intel Celeron G460,"1,8GHz",
Intel Celeron G530,4GHz,
Intel Celeron G530T,2GHz,
Intel Celeron G540,5GHz,
Intel Celeron G540T,1GHz,
Intel Celeron G550,6GHz,
Intel Celeron G550T,2GHz,
Intel Celeron G555,7GHz,
Intel Core 2 Duo E4300,,
Intel Core 2 Duo E4300,1.8GHz,
Intel Core 2 Duo E4400,,
Intel Core 2 Duo E4400,2.0GHz,
Intel Core 2 Duo E4500,,
Intel Core 2 Duo E4600,,
Intel Core 2 Duo E4600,2.4GHz,
Intel Core 2 Duo E4700,,
Intel Core 2 Duo E4700,2.6GHz,
Intel Core 2 Duo E6300,,
Intel Core 2 Duo E6300,1.86GHz,
Intel Core 2 Duo E6320,,
Intel Core 2 Duo E6320,2.13GHz,
Intel Core 2 Duo E6400,,
Intel Core 2 Duo E6420,,
Intel Core 2 Duo E6420,2.13GHz,
Intel Core 2 Duo E6450,2.33GHz,
Intel Core 2 Duo E6540,,
Intel Core 2 Duo E6550,,
Intel Core 2 Duo E6550,2.33GHz,
Intel Core 2 Duo E6600,2.4GHz,
Intel Core 2 Duo E6700,2.66GHz,
Intel Core 2 Duo E6750,2.66GHz,
Intel Core 2 Duo E6850,3.0GHz,
Intel Core 2 Duo E7200,2.53GHz,
Intel Core 2 Duo E7300,2.66GHz,
Intel Core 2 Duo E7400,2.8GHz,
Intel Core 2 Duo E7500,2.93GHz,
Intel Core 2 Duo E7600,3.06GHz,
Intel Core 2 Duo E8190,2.66GHz,
Intel Core 2 Duo E8200,2.66GHz,
Intel Core 2 Duo E8300,2.83GHz,
Intel Core 2 Duo E8400,3.0GHz,
Intel Core 2 Duo E8500,3.16GHz,
Intel Core 2 Duo E8600,3.33GHz,
Intel Core 2 Extreme QX6000,2.93GHz,
Intel Core 2 Extreme QX6700,2.66GHz,
Intel Core 2 Extreme QX6850,3.0GHz,
Intel Core 2 Extreme QX9,,
Intel Core 2 Extreme QX9650,3.0GHz,
Intel Core 2 Extreme QX9770,,
Intel Core 2 Extreme X6800,2.93GHz,
Intel Core 2 Extreme X7800,2.6GHz,
Intel Core 2 Extreme X7900,2.8GHz,
Intel Core 2 Quad 6600,2.4GHz,
Intel Core 2 Quad 79550S,2.83GHz,
Intel Core 2 Quad Q6700,2.66GHz,
Intel Core 2 Quad Q8200S,2.33GHz,
Intel Core 2 Quad Q8300,2.5GHz,
Intel Core 2 Quad Q8400S,2.66GHz,
Intel Core 2 Quad Q9300,2.5GHz,
Intel Core 2 Quad Q9400S,2.66GHz,
Intel Core 2 Quad Q9450,2.66GHz,
Intel Core 2 Quad Q9650,3.0GHz,
Intel Core 2 Solo U2100,,
Intel Core Duo L2400,,
Intel Core Duo T2500,,
Intel Core Duo U2500,,
Intel Core i3-2100,,
Intel Core i3-2100T,,
Intel Core i3-2102,,
Intel Core i3-2105,,
Intel Core i3-2115C,,
Intel Core i3-2120,,
Intel Core i3-2120T,,
Intel Core i3-2125,,
Intel Core i3-2130,,
Intel Core i3-2310E,,
Intel Core i3-2310M,,
Intel Core i3-2312M,,
Intel Core i3-2328M,,
Intel Core i3-2330E,,
Intel Core i3-2330M,,
Intel Core i3-2340UE,,
Intel Core i3-2348M,,
Intel Core i3-2350M,,
Intel Core i3-2357M,,
Intel Core i3-2365M,,
Intel Core i3-2367M,,
Intel Core i3-2370M,,
Intel Core i3-2375M,,
Intel Core i3-2377M,,
Intel Core i3-3110M,,
Intel Core i3-3115C,,
Intel Core i3-3120M,,
Intel Core i3-3120ME,,
Intel Core i3-3130M,,
Intel Core i3-3210,,
Intel Core i3-3217U,,
Intel Core i3-3217UE,,
Intel Core i3-3220,,
Intel Core i3-3220T,,
Intel Core i3-3225,,
Intel Core i3-3227U,,
Intel Core i3-3229Y,,
Intel Core i3-3240,,
Intel Core i3-3240T,,
Intel Core i3-3245,,
Intel Core i3-3250,,
Intel Core i3-3250T,,
Intel Core i3-330E,,
Intel Core i3-330M,,
Intel Core i3-330UM,,
Intel Core i3-350M,,
Intel Core i3-370M,,
Intel Core i3-380M,,
Intel Core i3-380UM,,
Intel Core i3-390M,,
Intel Core i3-530,,
Intel Core i3-540,,
Intel Core i3-550,,
Intel Core i3-560,,
Intel Core i3-L13G4,2.80 GHz,
Intel Core i5-10200H,4.10 GHz,2.40 GHz
Intel Core i5-10210U,4.20 GHz,1.60 GHz
Intel Core i5-10210Y,4.00 GHz,1.00 GHz
Intel Core i5-10300H,4.50 GHz,2.50 GHz
Intel Core i5-1030G4,3.50 GHz,700 MHz
Intel Core i5-1030G7,3.50 GHz,800 MHz
Intel Core i5-10310U,4.40 GHz,1.70 GHz
Intel Core i5-10310Y,4.10 GHz,1.10 GHz
Intel Core i5-1035G1,3.60 GHz,1.00 GHz
Intel Core i5-1035G4,3.70 GHz,1.10 GHz
Intel Core i5-1035G7,3.70 GHz,1.20 GHz
Intel Core i5-1038NG7,3.80 GHz,2.00 GHz
Intel Core i5-10400,4.30 GHz,2.90 GHz
Intel Core i5-10400F,4.30 GHz,2.90 GHz
Intel Core i5-10400H,4.60 GHz,2.60 GHz
Intel Core i5-10400T,3.60 GHz,2.00 GHz
Intel Core i5-10500,4.50 GHz,3.10 GHz
Intel Core i5-10500E,4.20 GHz,3.10 GHz
Intel Core i5-10500H,4.50 GHz,2.50 GHz
Intel Core i5-10500T,3.80 GHz,2.30 GHz
Intel Core i5-10500TE,3.70 GHz,2.30 GHz
Intel Core i5-10505,4.60 GHz,3.20 GHz
Intel Core i5-10600,4.80 GHz,3.30 GHz
Intel Core i5-10600K,4.80 GHz,4.10 GHz
Intel Core i5-10600KF,4.80 GHz,4.10 GHz
Intel Core i5-10600T,4.00 GHz,2.40 GHz
Intel Core i5-11260H,4.40 GHz, 
Intel Core i5-11300H,4.40 GHz, 
Intel Core i5-1130G7,4.00 GHz, 
Intel Core i5-11320H,4.50 GHz, 
Intel Core i5-1135G7,4.20 GHz, 
Intel Core i5-1135G7,4.20 GHz, 
Intel Core i5-11400,4.40 GHz,2.60 GHz
Intel Core i5-11400F,4.40 GHz,2.60 GHz
Intel Core i5-11400H,4.50 GHz, 
Intel Core i5-11400T,3.70 GHz,1.30 GHz
Intel Core i5-1140G7,4.20 GHz, 
Intel Core i5-1145G7,4.40 GHz, 
Intel Core i5-1145G7E,4.10 GHz,1.50 GHz
Intel Core i5-1145GRE,4.10 GHz,1.50 GHz
Intel Core i5-11500,4.60 GHz,2.70 GHz
Intel Core i5-11500H,4.60 GHz, 
Intel Core i5-11500HE,4.50 GHz, 
Intel Core i5-11500T,3.90 GHz,1.50 GHz
Intel Core i5-1155G7,4.50 GHz, 
Intel Core i5-1155G7,4.50 GHz, 
Intel Core i5-11600,4.80 GHz,2.80 GHz
Intel Core i5-11600K,4.90 GHz,3.90 GHz
Intel Core i5-11600KF,4.90 GHz,3.90 GHz
Intel Core i5-11600T,4.10 GHz,1.70 GHz
Intel Core i5-1230U, ,4.40 GHz
Intel Core i5-1235U, ,4.40 GHz
Intel Core i5-1235U, ,4.40 GHz
Intel Core i5-12400F , ,4.40 GHz
Intel Core i5-12400T, ,4.20 GHz
Intel Core i5-1240P, ,4.40 GHz
Intel Core i5-1240U, ,4.40 GHz
Intel Core i5-12450H, ,4.40 GHz
Intel Core i5-12450HX , ,4.40 GHz
Intel Core i5-1245U, ,4.40 GHz
Intel Core i5-1245UE, , 
Intel Core i5-12500, ,4.60 GHz
Intel Core i5-12500E, ,4.50 GHz
Intel Core i5-12500H, ,4.50 GHz
Intel Core i5-12500T, ,4.40 GHz
Intel Core i5-12500TE, ,4.30 GHz
Intel Core i5-1250P, ,4.40 GHz
Intel Core i5-1250PE, , 
Intel Core i5-12600, ,4.80 GHz
Intel Core i5-12600H, ,4.50 GHz
Intel Core i5-12600HE, , 
Intel Core i5-12600HX, ,4.60 GHz
Intel Core i5-12600K , ,4.90 GHz
Intel Core i5-12600KF , ,4.90 GHz
Intel Core i5-12600T, ,4.60 GHz
Intel Core i5-2300,3.10 GHz,
Intel Core i5-2300,3.10 GHz,2.80 GHz
Intel Core i5-2310,3.20 GHz,
Intel Core i5-2310,3.20 GHz,2.90 GHz
Intel Core i5-2320,3.30 GHz,
Intel Core i5-2320,3.30 GHz,3.00 GHz
Intel Core i5-2380P,3.40 GHz,
Intel Core i5-2380P,3.40 GHz,3.10 GHz
Intel Core i5-2390T,3.50 GHz,
Intel Core i5-2390T,3.50 GHz,2.70 GHz
Intel Core i5-2400,3.40 GHz,
Intel Core i5-2400,3.40 GHz,3.10 GHz
Intel Core i5-2400S,3.30 GHz,
Intel Core i5-2400S,3.30 GHz,2.50 GHz
Intel Core i5-2405S,3.30 GHz,
Intel Core i5-2405S,3.30 GHz,2.50 GHz
Intel Core i5-2410M,2.90 GHz,
Intel Core i5-2410M,2.90 GHz,2.30 GHz
Intel Core i5-2430M,3.00 GHz,
Intel Core i5-2430M,3.00 GHz,2.40 GHz
Intel Core i5-2435M,3.00 GHz,
Intel Core i5-2435M,3.00 GHz,2.40 GHz
Intel Core i5-2450M,3.10 GHz,
Intel Core i5-2450M,3.10 GHz,2.50 GHz
Intel Core i5-2450P,3.50 GHz,
Intel Core i5-2450P,3.50 GHz,3.20 GHz
Intel Core i5-2467M,2.30 GHz,
Intel Core i5-2467M,2.30 GHz,1.60 GHz
Intel Core i5-2500,3.70 GHz,
Intel Core i5-2500,3.70 GHz,3.30 GHz
Intel Core i5-2500K,3.70 GHz,
Intel Core i5-2500K,3.70 GHz,3.30 GHz
Intel Core i5-2500S,3.70 GHz,
Intel Core i5-2500S,3.70 GHz,2.70 GHz
Intel Core i5-2500T,3.30 GHz,
Intel Core i5-2500T,3.30 GHz,2.30 GHz
Intel Core i5-2510E,3.10 GHz,
Intel Core i5-2510E,3.10 GHz,2.50 GHz
Intel Core i5-2515E,3.10 GHz,
Intel Core i5-2515E,3.10 GHz,2.50 GHz
Intel Core i5-2520M,3.20 GHz,
Intel Core i5-2520M,3.20 GHz,2.50 GHz
Intel Core i5-2537M,2.30 GHz,
Intel Core i5-2537M,2.30 GHz,1.40 GHz
Intel Core i5-2540M,3.30 GHz,
Intel Core i5-2540M,3.30 GHz,2.60 GHz
Intel Core i5-2550K,3.80 GHz,
Intel Core i5-2550K,3.80 GHz,3.40 GHz
Intel Core i5-2557M,2.70 GHz,
Intel Core i5-2557M,2.70 GHz,1.70 GHz
Intel Core i5-3210M,3.10 GHz,
Intel Core i5-3210M,3.10 GHz,
Intel Core i5-3210M,3.10 GHz,2.50 GHz
Intel Core i5-3210M,3.10 GHz,2.50 GHz
Intel Core i5-3230M,3.20 GHz,
Intel Core i5-3230M,3.20 GHz,
Intel Core i5-3230M,3.20 GHz,2.60 GHz
Intel Core i5-3230M,3.20 GHz,2.60 GHz
Intel Core i5-3317U,2.60 GHz,
Intel Core i5-3317U,2.60 GHz,1.70 GHz
Intel Core i5-3320M,3.30 GHz,
Intel Core i5-3320M,3.30 GHz,2.60 GHz
Intel Core i5-3330,3.20 GHz,
Intel Core i5-3330,3.20 GHz,3.00 GHz
Intel Core i5-3330S,3.20 GHz,
Intel Core i5-3330S,3.20 GHz,2.70 GHz
Intel Core i5-3337U,2.70 GHz,
Intel Core i5-3337U,2.70 GHz,1.80 GHz
Intel Core i5-3339Y,2.00 GHz,
Intel Core i5-3339Y,2.00 GHz,1.50 GHz
Intel Core i5-3340,3.30 GHz,
Intel Core i5-3340,3.30 GHz,3.10 GHz
Intel Core i5-3340M,3.40 GHz,
Intel Core i5-3340M,3.40 GHz,2.70 GHz
Intel Core i5-3340S,3.30 GHz,
Intel Core i5-3340S,3.30 GHz,2.80 GHz
Intel Core i5-3350P,3.30 GHz,
Intel Core i5-3350P,3.30 GHz,3.10 GHz
Intel Core i5-3360M,3.50 GHz,
Intel Core i5-3360M,3.50 GHz,2.80 GHz
Intel Core i5-3380M,3.60 GHz,
Intel Core i5-3380M,3.60 GHz,2.90 GHz
Intel Core i5-3427U,2.80 GHz,
Intel Core i5-3427U,2.80 GHz,1.80 GHz
Intel Core i5-3437U,2.90 GHz,
Intel Core i5-3437U,2.90 GHz,1.90 GHz
Intel Core i5-3439Y,2.30 GHz,
Intel Core i5-3439Y,2.30 GHz,1.50 GHz
Intel Core i5-3450,3.50 GHz,
Intel Core i5-3450,3.50 GHz,3.10 GHz
Intel Core i5-3450S,3.50 GHz,
Intel Core i5-3450S,3.50 GHz,2.80 GHz
Intel Core i5-3470,3.60 GHz,
Intel Core i5-3470,3.60 GHz,3.20 GHz
Intel Core i5-3470S,3.60 GHz,
Intel Core i5-3470S,3.60 GHz,2.90 GHz
Intel Core i5-3470T,3.60 GHz,
Intel Core i5-3470T,3.60 GHz,2.90 GHz
Intel Core i5-3475S,3.60 GHz,
Intel Core i5-3475S,3.60 GHz,2.90 GHz
Intel Core i5-3550,3.70 GHz,
Intel Core i5-3550,3.70 GHz,3.30 GHz
Intel Core i5-3550S,3.70 GHz,
Intel Core i5-3550S,3.70 GHz,3.00 GHz
Intel Core i5-3570,3.80 GHz,
Intel Core i5-3570,3.80 GHz,3.40 GHz
Intel Core i5-3570K,3.80 GHz,
Intel Core i5-3570K,3.80 GHz,3.40 GHz
Intel Core i5-3570S,3.80 GHz,
Intel Core i5-3570S,3.80 GHz,3.10 GHz
Intel Core i5-3570T,3.30 GHz,
Intel Core i5-3570T,3.30 GHz,2.30 GHz
Intel Core i5-3610ME,3.30 GHz,
Intel Core i5-3610ME,3.30 GHz,2.70 GHz
Intel Core i5-4200H,3.40 GHz,2.80 GHz
Intel Core i5-4200M,3.10 GHz,2.50 GHz
Intel Core i5-4200U,2.60 GHz,1.60 GHz
Intel Core i5-4200Y,1.90 GHz,1.40 GHz
Intel Core i5-4202Y,2.00 GHz,1.60 GHz
Intel Core i5-4210H,3.50 GHz,2.90 GHz
Intel Core i5-4210M,3.20 GHz,2.60 GHz
Intel Core i5-4210U,2.70 GHz,1.70 GHz
Intel Core i5-4210Y,1.90 GHz,1.50 GHz
Intel Core i5-4220Y,2.00 GHz,1.60 GHz
Intel Core i5-4250U,2.60 GHz,1.30 GHz
Intel Core i5-4258U,2.90 GHz,2.40 GHz
Intel Core i5-4260U,2.70 GHz,1.40 GHz
Intel Core i5-4278U,3.10 GHz,2.60 GHz
Intel Core i5-4288U,3.10 GHz,2.60 GHz
Intel Core i5-4300M,3.30 GHz,2.60 GHz
Intel Core i5-4300U,2.90 GHz,1.90 GHz
Intel Core i5-4300Y,2.30 GHz,1.60 GHz
Intel Core i5-4302Y,2.30 GHz,1.60 GHz
Intel Core i5-4308U,3.30 GHz,2.80 GHz
Intel Core i5-430M,2.53 GHz,
Intel Core i5-430M,2.53 GHz,2.26 GHz
Intel Core i5-430UM,1.73 GHz,
Intel Core i5-430UM,1.73 GHz,1.20 GHz
Intel Core i5-4310M,3.40 GHz,2.70 GHz
Intel Core i5-4310U,3.00 GHz,2.00 GHz
Intel Core i5-4330M,3.50 GHz,2.80 GHz
Intel Core i5-4340M,3.60 GHz,2.90 GHz
Intel Core i5-4350U,2.90 GHz,1.40 GHz
Intel Core i5-4360U,3.00 GHz,1.50 GHz
Intel Core i5-4400E,3.30 GHz,2.70 GHz
Intel Core i5-4402E,2.70 GHz,1.60 GHz
Intel Core i5-4402EC,2.50 GHz,2.50 GHz
Intel Core i5-4410E,2.90 GHz,2.90 GHz
Intel Core i5-4422E,2.90 GHz,1.80 GHz
Intel Core i5-4430,3.20 GHz,3.00 GHz
Intel Core i5-4430S,3.20 GHz,2.70 GHz
Intel Core i5-4440,3.30 GHz,3.10 GHz
Intel Core i5-4440S,3.30 GHz,2.80 GHz
Intel Core i5-4460,3.40 GHz,3.20 GHz
Intel Core i5-4460S,3.40 GHz,2.90 GHz
Intel Core i5-4460T,2.70 GHz,1.90 GHz
Intel Core i5-450M,2.66 GHz,
Intel Core i5-450M,2.66 GHz,2.40 GHz
Intel Core i5-4570,3.60 GHz,3.20 GHz
Intel Core i5-4570R,3.20 GHz,2.70 GHz
Intel Core i5-4570S,3.60 GHz,2.90 GHz
Intel Core i5-4570T,3.60 GHz,2.90 GHz
Intel Core i5-4570TE,3.30 GHz,2.70 GHz
Intel Core i5-4590,3.70 GHz,3.30 GHz
Intel Core i5-4590S,3.70 GHz,3.00 GHz
Intel Core i5-4590T,3.00 GHz,2.00 GHz
Intel Core i5-460M,2.80 GHz,
Intel Core i5-460M,2.80 GHz,2.53 GHz
Intel Core i5-4670,3.80 GHz,3.40 GHz
Intel Core i5-4670K,3.80 GHz,3.40 GHz
Intel Core i5-4670R,3.70 GHz,3.00 GHz
Intel Core i5-4670S,3.80 GHz,3.10 GHz
Intel Core i5-4670T,3.30 GHz,2.30 GHz
Intel Core i5-4690,3.90 GHz,3.50 GHz
Intel Core i5-4690K,3.90 GHz,3.50 GHz
Intel Core i5-4690S,3.90 GHz,3.20 GHz
Intel Core i5-4690T,3.50 GHz,2.50 GHz
Intel Core i5-470UM,1.86 GHz,
Intel Core i5-470UM,1.86 GHz,1.33 GHz
Intel Core i5-480M,2.93 GHz,
Intel Core i5-480M,2.93 GHz,2.66 GHz
Intel Core i5-5200U,2.70 GHz,2.20 GHz
Intel Core i5-520E,2.93 GHz,
Intel Core i5-520E,2.93 GHz,2.40 GHz
Intel Core i5-520M,2.93 GHz,
Intel Core i5-520M,2.93 GHz,2.40 GHz
Intel Core i5-520UM,1.87 GHz,
Intel Core i5-520UM,1.87 GHz,1.07 GHz
Intel Core i5-5250U,2.70 GHz,1.60 GHz
Intel Core i5-5257U,3.10 GHz,2.70 GHz
Intel Core i5-5287U,3.30 GHz,2.90 GHz
Intel Core i5-5300U,2.90 GHz,2.30 GHz
Intel Core i5-5350H,3.50 GHz,3.10 GHz
Intel Core i5-5350U,2.90 GHz,1.80 GHz
Intel Core i5-540M,3.07 GHz,
Intel Core i5-540M,3.07 GHz,2.53 GHz
Intel Core i5-540UM,2.00 GHz,
Intel Core i5-540UM,2.00 GHz,1.20 GHz
Intel Core i5-5575R,3.30 GHz,2.80 GHz
Intel Core i5-560M,3.20 GHz,
Intel Core i5-560M,3.20 GHz,2.66 GHz
Intel Core i5-560UM,2.13 GHz,
Intel Core i5-560UM,2.13 GHz,1.33 GHz
Intel Core i5-5675C,3.60 GHz,3.10 GHz
Intel Core i5-5675R,3.60 GHz,3.10 GHz
Intel Core i5-580M,3.33 GHz,
Intel Core i5-580M,3.33 GHz,2.66 GHz
Intel Core i5-6200U,2.80 GHz,2.30 GHz
Intel Core i5-6260U,2.90 GHz,1.80 GHz
Intel Core i5-6267U,3.30 GHz,2.90 GHz
Intel Core i5-6287U,3.50 GHz,3.10 GHz
Intel Core i5-6300HQ,3.20 GHz,2.30 GHz
Intel Core i5-6300U,3.00 GHz,2.40 GHz
Intel Core i5-6350HQ,3.20 GHz,2.30 GHz
Intel Core i5-6360U,3.10 GHz,2.00 GHz
Intel Core i5-6400,3.30 GHz,2.70 GHz
Intel Core i5-6400T,2.80 GHz,2.20 GHz
Intel Core i5-6402P,3.40 GHz,2.80 GHz
Intel Core i5-6440EQ,3.40 GHz,2.70 GHz
Intel Core i5-6440HQ,3.50 GHz,2.60 GHz
Intel Core i5-6442EQ,2.70 GHz,1.90 GHz
Intel Core i5-650,3.46 GHz,
Intel Core i5-650,3.46 GHz,3.20 GHz
Intel Core i5-6500,3.60 GHz,3.20 GHz
Intel Core i5-6500T,3.10 GHz,2.50 GHz
Intel Core i5-6500TE,3.30 GHz,2.30 GHz
Intel Core i5-655K,3.46 GHz,
Intel Core i5-655K,3.46 GHz,3.20 GHz
Intel Core i5-6585R,3.60 GHz,2.80 GHz
Intel Core i5-660,3.60 GHz,
Intel Core i5-660,3.60 GHz,3.33 GHz
Intel Core i5-6600,3.90 GHz,3.30 GHz
Intel Core i5-6600K,3.90 GHz,3.50 GHz
Intel Core i5-6600T,3.50 GHz,2.70 GHz
Intel Core i5-661,3.60 GHz,
Intel Core i5-661,3.60 GHz,3.33 GHz
Intel Core i5-6685R,3.80 GHz,3.20 GHz
Intel Core i5-670,3.73 GHz,
Intel Core i5-670,3.73 GHz,3.46 GHz
Intel Core i5-680,3.86 GHz,
Intel Core i5-680,3.86 GHz,3.60 GHz
Intel Core i5-7200U,3.10 GHz,2.50 GHz
Intel Core i5-7260U,3.40 GHz,2.20 GHz
