"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","1","PENTIUM 166",""
"","2","PENTIUM 133",""
"","3","PENTIUM 90",""
"","4","AMD 586 133",""
"","5","PENTIUM 150",""
"","6","AMD DUROM 800",""
"","7","PENTIUM 233",""
"","8","PENTIUM 100",""
"","9","386",""
"","10","PENTIUM 200",""
"","11","486",""
"","12","486 DX2 50",""
"","13","486 DX2 66",""
"","14","CELERON 2.53",""
"","15","PENTIUM 300",""
"","16","PENTIUM II 266",""
"","17","AMD 686 200",""
"","18","IBM 386 SX 33",""
"","19","IBM APTIVA",""
"","20","PENTIUM II 300",""
"","21","COMPAQ DESKPRO 100",""
"","22","COMPAQ 200 DUAL",""
"","23","IBM - CELERON 300GL",""
"","24","PENTIUM II 333",""
"","25","AMD 686 266",""
"","26","COMPAQ PRESARIO",""
"","27","PENTIUM II 350",""
"","28","AMD 350",""
"","29","PENTIUM 120",""
"","30","AMD K6 300",""
"","31","INTEL PENTIUM II 450",""
"","32","INTEL PENTIUM III 750",""
"","33","INTEL PENTIUM II 400",""
"","34","INTEL PENTIUM II 366",""
"","35","INTEL PENTIUM III 450",""
"","36","INTEL PENTIUM II 433",""
"","37","AMD K6 400",""
"","39","CELERON 366",""
"","41","CELERON 400",""
"","42","AMD K6 455",""
"","44","CELERON 433",""
"","45","CELERON 500",""
"","46","INTEL PENTIUM III 500",""
"","47","CELERON 300",""
"","48","CELERON 466",""
"","49","INTEL PENTIUM III 300",""
"","50","INTEL PENTIUM II 400 DUAL",""
"","51","INTEL PENTIUM III 550",""
"","53","AMD K6 200",""
"","54","AMD K6 266",""
"","55","AMD K6 II 350",""
"","56","AMD 686 MX",""
"","57","AMD K6 II 450",""
"","58","COMPAQ 486",""
"","59","INTEL PENTIUM III 800",""
"","60","CELERON 566",""
"","61","CELERON 600",""
"","62","AMD K6 II 500",""
"","63","INTEL PENTIUM III 600",""
"","65","INTEL PENTIUM III 733",""
"","66","INTEL PENTIUM III 1000",""
"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","67","486 DX4 100",""
"","68","INTEL PENTIUM III 650",""
"","69","INTEL PENTIUM II 700",""
"","70","INTEL PENTIUM III 866",""
"","71","AMD 450",""
"","72","AMD 750",""
"","73","CYRIX 6X86MX 333",""
"","74","INTEL PENTIUM III 700",""
"","75","INTEL PENTIUM III 1.1 GHZ",""
"","76","PENTIUM 75",""
"","77","AMD 686 333",""
"","78","INTEL PENTIUM IV 1.5 GHZ",""
"","79","AMD K6 166",""
"","80","CELERON 950",""
"","81","AMD K6 500",""
"","82","INTEL PENTIUM III 700 XEON",""
"","83","INTEL PENTIUM III 1.0 GHZ",""
"","84","INTEL PENTIUM III 1133",""
"","85","INTEL PENTIUM IV 1.4 GHZ",""
"","86","INTEL PENTIUM IV 1.6 GHZ",""
"","87","AMD K6 II 300",""
"","88","AMD DUROM 850",""
"","89","INTL PENTIUM III 533E",""
"","90","AMD DUROM 995",""
"","91","AMD DUROM 950",""
"","92","INTEL PENTIUM IV 1.9 GHZ",""
"","93","INTEL PENTIUM IV 2.0 GHZ",""
"","94","INTEL PENTIUM IV 1.8 GHZ",""
"","95","AMD DUROM 1.1",""
"","96","AMD DUROM 1.2",""
"","97","INTEL PENTIUM IV 2.4 GHZ",""
"","98","ATLHON 2.0 GHZ",""
"","99","ATLHON 1.4 GHZ",""
"","100","INTEL PENTIUM IV 1.7 GHZ",""
"","101","INTEL PENTIUM IV 3.0 GHZ",""
"","102","CELERON 1300",""
"","103","ATLHON XP 1.8",""
"","104","CELERON 1.1 GHZ",""
"","105","AMD K6 II 150",""
"","106","MACINTOSH G3 350",""
"","107","CELERON 1.2 GHZ",""
"","108","AMD K6 II 400",""
"","109","ATLHON XP 1.7",""
"","110","AMD DUROM 1.150",""
"","111","CELERON 1.3 GHZ",""
"","112","INTEL PENTIUM IV 2.6 GHZ",""
"","113","INTEL PENTIUM III 900",""
"","114","INTEL PENTIUM IV 3.2 GHZ",""
"","115","ATLHON XP 2.6",""
"","116","ATLHON XP 2.0",""
"","117","ATLHON XP 2.2",""
"","118","CELERON 1.7 GHZ",""
"","119","ATLHON 1.6 GHZ",""
"","120","ATLHON XP 1.2",""
"","121","INTEL PENTIUM IV 2.8 GHZ",""
"","122","ATLHON XP 2.4",""
"","123","ATLHON",""
"","124","ATLHON XP 2.6",""
"","125","ATLHON XP 2.4",""
"","127","CELERON 1000",""
"","128","AMD DUROM 1.6",""
"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","129","INTEL PENTIUM IV 2.8 HT",""
"","130","ATLHON 64 BITS 3.2",""
"","131","INTEL PENTIUM IV 2.2 GHZ",""
"","132","AMD SEMPROM 2.2",""
"","133","CELERON 2.0 GHZ",""
"","134","AMD SEMPROM 3.0",""
"","135","ATLHON XP 2.8",""
"","137","CELERON 1.8 GHZ",""
"","138","AMD SEMPROM 2.4",""
"","139","CELERON 2.2 GHZ",""
"","140","INTEL PENTIUM IV 3.2 HT",""
"","141","CELERON D 2.21 GHT",""
"","142","INTEL PENTIUM IV 3.0 HT",""
"","143","CELERON 2.66",""
"","144","AMD SEMPROM 2.6",""
"","145","CELERON D 2.66",""
"","146","CELERON D 2.5 GHZ",""
"","147","INTEL PENTIUM IV 3.0 HT",""
"","148","CELERON 2.13 GHZ",""
"","149","AMD SEMPROM 2.8",""
"","150","CELERON 2.8",""
"","151","CELERON D 2.13",""
"","152","INTEL PENTIUM IV 3.06 GHZ",""
"","153","ATHLON 64 2.8 GHZ",""
"","154","AMD SEMPROM 2.500",""
"","155","ATHLON 64 3.0 GHZ",""
"","156","PENTIUM D 3.4",""
"","157","ATHLON 64 3.5 GHZ",""
"","158","INTEL PENTIUM IV DUOCORE 1.68",""
"","159","PENTIUM D 2.66",""
"","160","ATLHON 64 3.5 GHZ",""
"","161","PENTIUM D 2.8",""
"","162","AMD SEMPRON 64 2800",""
"","","PENTIUM D 3.06",""
"","","PENTIUM F 3.06",""
"","165","INTEL XEON 3.2",""
"","166","ATHLON 64 3.2 GHZ",""
"","167","DUAL CORE 1.86",""
"","168","ATHLON 64 4.2 GHZ",""
"","169","INTEL DUAL CORE 2.13 GHZ",""
"","170","AMD 2 XP DUAL",""
"","171","DUAL CORE 2 4300 1.8",""
"","172","AMD SEMPROM 2800",""
"","173","INTEL PENTIUM INTEL  DUAL  1.80 GHZ",""
"","174","AMD SEMPRON 3400 1.80 GHZ",""
"","175","INTEL 1.80 GHZ",""
"","176","AMDSEMPROM 3000",""
"","177","ATHON 64 5200",""
"","178","AMD SEMPRON 1100",""
"","179","INTEL 2140 1.60 GHZ",""
"","180","INTEL 1.6 GHZ",""
"","181","AMD ATHON 64X2 DUAL 2.11 GHZ",""
"","182","CELERON D 3.6 GHZ",""
"","183","AMD SEMPROM LE 1100",""
"","184","PENTIUM DUAL 1.80 GHZ",""
"","185","INTEL PENTIUM IV 3.60",""
"","186","PENTIUM II",""
"","187","INTEL CORE 2 DUO 2.20",""
"","188","AMD ATHLON 64 3.500",""
"","189","INTEL PENTIUM DUAL 1.60 GHZ",""
"","190","AMD ATHLON 2200",""
"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","191","INTEL CELERON",""
"","192","INTEL CELERON 420 1.6",""
"","193","INTEL PENTIUM IV 3.00 GHZ",""
"","194","AMD SEMPRON 3000",""
"","195","AMD SEMPROM 1.6 GHZ",""
"","196","AMD ATHLON 1.49 GHZ",""
"","197","AMD SEMPROM 1.6 GHZ",""
"","198","INTEL CORE 2 DUO E4500",""
"","199","AMD SEMPROM 2800 1.6",""
"","200","INTEL PENTIUM DUAL CORE 1.8 GHZ",""
"","201","PENTIUM DUAL CORE 2.00 GHZ",""
"","202","INTEL PENTIUM IV",""
"","203","CORE 2 DUO E6550",""
"","204","AMD ATHLON 64 X2 DUAL 5200",""
"","205","INTEL CELERON 1.6 GHZ",""
"","206","PENTIUM DUAL E 2180 2.00 GHZ",""
"","207","CORE 2 DUO E4600",""
"","208","DUO CORE 2",""
"","209","INTEL CORE DUO 2.53",""
"","210","INTEL PENTIUM IV DUAL 1.79 GHZ",""
"","211","INTEL CORE 2 QUAD 2.4",""
"","212","CORE 2 DUO 2.4 GHZ",""
"","213","INTEL PENTIUM DUAL E2180 2.00 GHZ",""
"","214","CORE 2 DUO E8200 2.6",""
"","215","CELERON 420 1.6",""
"","216","PENTIUM DUAL CORE 2140",""
"","217","ATHLON X2 4400 2.3",""
"","218","AMD 64 X2 DUAL CORE 4000 + 2,11 GHZ",""
"","219","AMD DURON 1.3 GHZ",""
"","220","AMD SEMPRON 1.5",""
"","221","INTEL CORE 2 2.40 GHZ",""
"","222","PENTIUM DUAL CORE",""
"","223","INTEL PENTIUM E2180 2.0",""
"","224","AMD DUAL CORE 5200",""
"","225","INTEL CORE 2 DUO E8400 3.00GHZ",""
"","226","AMD ATHLON DUAL CORE 4050 2.11GHZ",""
"","227","AMD ATHLON X2 5000 DUAL CORE",""
"","228","AMD SEMPRON",""
"","229","CORE 2 DUO E7200",""
"","230","PENTIUM DUAL CORE E5200 2.50 GH",""
"","231","AMD 900 MHZ",""
"","232","INTEL CORE 2 QUAD Q8200",""
"","233","PENTIUM DUAL CORE E2200 2.20",""
"","234","PENTIUM E2180 2.00 GHZ",""
"","235","ATHLON 64 X2 5200",""
"","236","INTEL CORE 2 DUO E7400 2.8GHZ",""
"","237","AMD SEMPROM 2.11GHZ",""
"","238","AMD ATHLON 900 MGZ",""
"","239","AMD PHENOM 9650 2.30",""
"","240","DUAL CORE E 5300",""
"","241","INTEL CORE 2 DUO E7300 2.66GHZ",""
"","242","INTEL XEON X3220 2.40GHZ",""
"","243","INTEL CORE 2 DUO E7400 2.55GHZ ",""
"","244","ATHLON 1.0 GHZ",""
"","245","ATHLON XP 1.0 GHZ",""
"","246","ATHLON 64X2 6000+3.0GHZ",""
"","247","AMD SEMPROM 2600 1.6",""
"","248","INTEL CORE 2 DUO E2200 2.2 GHZ",""
"","249","CORE 2 QUAD Q8200 2.33 GHZ",""
"","250","CELERON E1200 1.6GHZ",""
"","251","PENTIUM DUAL 3,4GHZ",""
"Hospital Universitario Clementino Fraga Filho - UFRJ","","",""
"Coordernação de Informatica e Rede","","","Lista de Tipo de Computadores"
"","Codigo","Descrição",""
"","252","INTEL DUAL E2220 2.40GHZ",""
"","253","INTEL 2 DUO E7300 2.6GHZ",""
"","254","CORE 2 DUO E4500 2.2",""
"","255","AMD PHENOM TRIPLE CORE 2.31GHZ",""
"","256","INTEL CORE 2 DUO E6550 2.33GHZ",""
"","257","DUAL CORE 2.60GHZ",""
"","258","CELERON 2.4",""
"","259","AMD SEMPRON LE-1150 2.0GHZ",""
"","260","INTEL CORE 2 DUO E7500 2.93GHZ",""
"","261","ATHLON XP 1500 1.01 GHZ",""
"","262","INTEL CORE2 DUO E7500 2.93GHZ",""
"","263","INTEL QUAD CORE E8400",""
"","264","PENTIUM INTEL 2 DUO CORE E7400 2.66GHZ",""
"","265","INTEL PENTIUM DUAL E2200 2.20GHZ",""
"","266","PENTIUM DUAL CORE E5300",""
"","267","INTEL CORE I5 3.20 GHZ",""
"","268","AMD ATHLON X2 DUAL CORE 3250 1.50 GHZ",""
"","269","INTEL CELERON E3300 2.50 GHZ",""
"","270","INTEL CORE 2 QUAD Q8300 2.50GHZ",""
"","271","PENTIUM DUAL CORE E5300 Q2.60GHZ",""
"","272","INTEL CORE I3 540 3.07GHZ",""
"","273","INTEL PENTIUN DUAL CORE E 5300 2.6GHZ",""
"","274","INTEL CORE I7 870 2.93GHZ",""
"","275","INTEL CORE I5 760 2.80GHZ",""
"","276","AMD ATHLON 64X2 DUAL 2.31GHZ",""
"","277","INTEL CORE I5 650 3.20GHZ",""
"","278","INTEL PENTIUM DUAL E2220Q 240GHZ",""
"","279","PENTIUM DUAL CORE E5800 Q3,20GHZ",""
"","280","PENTIUM DUAL CORE E5700",""
"","281","CORE 2 DUO E7500 BOX",""
"","282","AMD X2 250 3000MHZ",""
"","283","AMD X2 250 3100MHZ",""
"","284","INTEL CORE 2 QUAD Q8200 2.33GHZ",""
"","285","DUAL CORE 3.00GHZ",""
"","286","AMD ATHLON II X2 250 3.0GHZ",""
"","287","INTEL CORE I7-2600CPU 3.40GHZ 3.39GHZ",""
"","288","INTEL CORE I3 2100 3.10GHZ",""
"","289","INTEL CORE I5 2500 3.30GHZ",""
"","290","AMD PHENON II X4 830 2.8GHZ",""
"","291","AMD 1.6",""
"","292","INTEL CORE I3 3.0 GHZ",""
"","293","DELL INTEL CORE E 7500",""
"","294","HP LASERJET 1018",""
"","295","CORE 2 QUAD Q 6600 2.40GHZ",""
"","296","CELERON E3400 2.60GHZ",""
"","297","INTEL G630 2.70 GHZ",""
"","298","AMD 9850 QUAD-CORE 2.50GHZ",""
"","299","AMD E-350 1.60GHZ",""
"","300","HP 6005 PRO AMAD ATHON",""
"","301","ITAUTEC I3.3 GHZ 2120",""
"","302","ITAUTEC PENTIUM E550 2.80 MHZ",""
"","303","AMD C 50",""
"","304","AMD ATHLON IIX2 3.40 GHZ",""
"","305","INTEL CORE DUO E7500 2.93GHZ",""
"","306","INTEL CORE I5 3330 3.00GHZ",""
"","307","INTEL CORE DUO E4500 2.200GHZ",""
"","308","INTEL CORE I5 4440",""
"","309","PENTIUM G4400 3.3GHZ",""
"","310","INTEL CORE I3",""
"","311","AMD A10 7860K 3.60GHZ",""
"","312","INTEL CORE I7-6700 3.40GHZ",""
"Hospital Universitario Clementino Fraga Filho - UFRJ","","","",""
"Coordernação de Informatica e Rede","","","","Lista de Tipo de Computadores"
"","Codigo","","Descrição",""
"","313","","INTEL I3 4170",""
"","314","","INTEL PENTIUM G2030 3.00GHZ",""
"","315","","MSI MS7816",""
"","316","","INTEL CORE E6550 2.33GHZ",""
"","317","","INTEL I5 7500",""
"","318","","AMD FX-8300",""
"","319","","INTEL XEON W3503 2.40GHZ",""
"","320","","INTEL PENTIUN G3420",""
"","321","","INTEL CORE DUO B400 3.00GHZ",""
"","322","","AMD RYZEN 7 2700",""
"","323","","AMD FX - 6300",""
"","324","","QUAD CORE 2.66 XEON",""
"","325","","INTEL XEON ES620 2.40GHZ",""
"","326","","INTEL PENTIUM G640 2.80GHZ",""
"","327","","INTEL CORE I5 9400",""
"","328","","AMD PHENOM II X2 555 3.20GHZ",""
"","329","","INTEL CORE I3 - 10100 3.60GHZ",""
"","330","","INTEL CORE I3-4160 CPU 3.60GHZ",""
"","331","","INTEL QUAD Q9300",""
"","332","","INTEL CORE I5 - 7500 CPU 3.40GHZ",""
"","333","","INTEL CORE I5 - 10210 CPU 1.60GHZ 2.11GHZ",""
"","334","","INTEL CORE I7 - 10700K CPU 3.80GHZ",""
"","335","","INTEL CORE I7 9700F",""
"","336","","INTEL CORE I5 3470 CPU 3.20GHZ",""
"","337","","INTEL XEON W-350 3.30 GHZ",""
"","338","","INTEL CORE I3 - 3240 CPU 3.40GHZ",""
"","339","","INTEL CORE I5 - 12400 2.50 GHZ",""
"","340","","INTEL CORE I7 11700",""
"","341","","INTEL CORE I5 8400",""
"","342","","385",""
"","343","","INTEL CORE I5 11400",""
"","344","","RYZEN 7 PRO 57500 G",""
"","345","","INTEL CORE 2 DUO T7700 2.40GHZ",""
"","346","","AMD RYZEN 7 PRO 5750G 3.8GHZ",""
"","347","","AMD A6-7480",""
"Total:","","340","",""
